Subject,Video,G_s,G_i,Same_Gen,PA_2,FF,FM,MF,MM,PA_3,FFA,FMB,FMA,FFB,MFA,MMB,MMA,MFB,Total_Raw,Total_Scaled,Total_Perf,Recall_Raw,Recall_Scaled,Recall_Perf,Comp_Raw,Comp_Scaled,Comp_Perf,A_Raw,B_Raw,IFE_Raw,IFE_Scaled,StartDate,EndDate,IPAddress,Duration,LocLat,LocLong,b,c,d,e,f,1A,2A,3A,4A,5A,6A,7A,8A,1B,2B,3B,4B,5B,6B,7B,8B
68,2,1,2,0,3,0,1,0,0,7,0,1,0,0,0,0,0,0,7,87.50 ,11.34,4,80.00 ,-0.74,3,100.00 ,31.48,5,7,6,75,11/12/19 10:45,11/12/19 10:56,98.113.135.31,626,40.78199768,-73.99530029,2,1,1,2,6,4,1,1,1,1,4,2,3,3,2,1,2,1,2,3,2
69,2,2,1,0,4,0,0,1,0,13,0,0,0,0,0,0,0,1,8,100.00 ,20.47,5,100.00 ,16.55,3,100.00 ,27.01,8,8,8,100,11/12/19 13:43,11/12/19 13:54,68.42.117.147,649,42.2440033,-83.58229828,2,1,1,1,5,2,4,1,2,1,4,2,3,3,2,1,4,1,2,3,2
70,2,2,2,1,5,0,0,0,1,11,0,0,0,0,0,1,0,0,8,100.00 ,20.47,5,100.00 ,16.55,3,100.00 ,27.01,8,8,8,100,11/12/19 15:13,11/13/19 8:32,199.16.150.162,62383,40.77420044,-111.8721008,3,1,1,2,6,2,4,1,2,1,4,2,3,3,2,1,4,1,2,3,2
71,2,2,2,1,5,0,0,0,1,11,0,0,0,0,0,1,0,0,8,100.00 ,20.47,5,100.00 ,16.55,3,100.00 ,27.01,8,8,8,100,11/12/19 15:13,11/12/19 15:24,66.44.114.66,662,38.95219421,-77.02529907,3,1,1,1,5,2,4,1,2,1,4,2,3,3,2,1,4,1,2,3,2
72,2,1,1,1,2,1,0,0,0,9,0,0,0,1,0,0,0,0,7,87.50 ,11.34,5,100.00 ,19.26,2,66.67 ,-1.85,7,7,7,87.5,11/12/19 15:13,11/12/19 15:33,70.120.117.39,1164,32.96099854,-96.98410034,4,4,2,1,6,2,4,1,2,1,1,2,3,3,2,1,4,1,3,3,2
73,2,1,2,0,3,0,1,0,0,7,0,1,0,0,0,0,0,0,7,87.50 ,11.34,5,100.00 ,19.26,2,66.67 ,-1.85,5,7,6,75,11/12/19 16:13,11/12/19 16:27,208.87.235.180,809,34.05439758,-118.2440033,4,1,1,2,6,2,3,1,3,1,4,4,3,3,2,1,4,1,3,3,2
74,2,1,1,1,2,1,0,0,0,9,0,0,0,1,0,0,0,0,7,87.50 ,11.34,5,100.00 ,19.26,2,66.67 ,-1.85,7,7,7,87.5,11/12/19 16:49,11/12/19 17:06,72.207.3.147,1051,32.71040344,-117.0527954,3,1,1,2,5,2,4,1,3,1,4,2,3,3,2,1,4,1,1,3,2
75,2,2,2,1,5,0,0,0,1,11,0,0,0,0,0,1,0,0,7,87.50 ,7.97,4,80.00 ,-3.45,3,100.00 ,27.01,7,7,7,87.5,11/12/19 16:56,11/12/19 17:06,208.90.214.196,581,37.75059509,-122.4121017,2,4,1,2,6,2,3,1,2,1,4,2,3,3,2,1,1,1,2,3,2
76,2,1,2,0,3,0,1,0,0,7,0,1,0,0,0,0,0,0,5,62.50 ,-13.66,3,60.00 ,-20.74,2,66.67 ,-1.85,7,5,6,75,11/12/19 19:57,11/12/19 20:07,98.248.156.77,607,37.30279541,-121.9981995,2,4,1,1,5,2,2,1,2,1,4,2,3,3,1,1,3,1,2,1,2
77,2,1,1,1,2,1,0,0,0,9,0,0,0,1,0,0,0,0,7,87.50 ,11.34,5,100.00 ,19.26,2,66.67 ,-1.85,8,7,7.5,93.75,11/12/19 23:19,11/12/19 23:40,76.89.140.63,1221,33.97050476,-118.4308014,4,1,1,2,5,2,4,1,2,1,4,2,3,3,2,1,4,1,1,3,2
78,2,2,2,1,5,0,0,0,1,11,0,0,0,0,0,1,0,0,8,100.00 ,20.47,5,100.00 ,16.55,3,100.00 ,27.01,8,8,8,100,11/13/19 8:18,11/13/19 8:30,107.0.228.218,730,42.27090454,-83.72679901,2,1,1,2,5,2,4,1,2,1,4,2,3,3,2,1,4,1,2,3,2
79,2,2,2,1,5,0,0,0,1,11,0,0,0,0,0,1,0,0,8,100.00 ,20.47,5,100.00 ,16.55,3,100.00 ,27.01,7,8,7.5,93.75,11/13/19 9:18,11/13/19 9:29,99.151.33.122,639,30.26609802,-97.71360016,3,1,1,2,6,2,4,1,2,2,4,2,3,3,2,1,4,1,2,3,2
80,2,1,1,1,2,1,0,0,0,9,0,0,0,1,0,0,0,0,8,100.00 ,23.84,5,100.00 ,19.26,3,100.00 ,31.48,8,8,8,100,11/13/19 9:35,11/13/19 9:48,162.208.93.190,778,34.04469299,-118.4487,2,1,1,1,5,2,4,1,2,1,4,2,3,3,2,1,4,1,2,3,2
81,2,2,2,1,5,0,0,0,1,11,0,0,0,0,0,1,0,0,8,100.00 ,20.47,5,100.00 ,16.55,3,100.00 ,27.01,7,8,7.5,93.75,11/13/19 10:21,11/13/19 10:32,73.71.163.29,690,37.52810669,-121.9732056,2,4,2,1,6,4,4,1,2,1,4,2,3,3,2,1,4,1,2,3,2
82,2,2,1,0,4,0,0,1,0,13,0,0,0,0,0,0,0,1,7,87.50 ,7.97,5,100.00 ,16.55,2,66.67 ,-6.32,6,7,6.5,81.25,11/13/19 12:22,11/13/19 12:32,47.153.96.125,605,33.51730347,-117.1208038,3,1,2,1,6,2,1,1,2,2,4,2,3,3,2,1,4,1,1,3,2
83,2,2,2,1,5,0,0,0,1,11,0,0,0,0,0,1,0,0,8,100.00 ,20.47,5,100.00 ,16.55,3,100.00 ,27.01,4,8,6,75,11/13/19 16:10,11/13/19 16:20,74.120.152.120,606,45.48039246,-122.5890961,4,1,1,2,6,4,1,3,2,2,4,2,3,3,2,1,4,1,2,3,2
84,2,1,1,1,2,1,0,0,0,9,0,0,0,1,0,0,0,0,6,75.00 ,-1.16,4,80.00 ,-0.74,2,66.67 ,-1.85,7,6,6.5,81.25,11/14/19 0:07,11/14/19 0:18,146.23.201.247,629,-31.96330261,115.8608093,3,1,1,1,5,2,3,1,2,1,4,2,3,3,2,1,3,1,1,3,2
85,2,1,2,0,3,0,1,0,0,7,0,1,0,0,0,0,0,0,3,37.50 ,-38.66,3,60.00 ,-20.74,0,0.00 ,-68.52,5,3,4,50,11/14/19 5:48,11/14/19 5:59,173.68.158.89,656,40.77059937,-73.92829895,4,6,1,2,6,2,4,3,2,2,1,2,3,3,1,1,4,4,1,1,1
86,2,2,1,0,4,0,0,1,0,13,0,0,0,0,0,0,0,1,7,87.50 ,7.97,5,100.00 ,16.55,2,66.67 ,-6.32,8,7,7.5,93.75,11/14/19 11:28,11/14/19 11:51,208.87.235.180,1404,34.05439758,-118.2440033,2,7,1,2,5,2,4,1,2,1,4,2,3,3,2,1,4,1,1,3,2
87,2,2,2,1,5,0,0,0,1,11,0,0,0,0,0,1,0,0,5,62.50 ,-17.03,4,80.00 ,-3.45,1,33.33 ,-39.66,7,5,6,75,11/14/19 22:27,11/14/19 22:51,208.87.233.201,1401,37.75100708,-97.8219986,2,4,2,2,5,2,4,1,2,2,4,2,3,4,2,1,4,1,1,3,1
88,2,2,1,0,4,0,0,1,0,13,0,0,0,0,0,0,0,1,6,75.00 ,-4.53,4,80.00 ,-3.45,2,66.67 ,-6.32,6,6,6,75,11/15/19 7:40,11/15/19 7:50,71.183.110.199,566,40.74279785,-73.97119904,2,4,2,1,5,2,4,1,3,1,4,1,3,3,2,1,1,1,1,3,2
89,2,2,2,1,5,0,0,0,1,11,0,0,0,0,0,1,0,0,6,75.00 ,-4.53,4,80.00 ,-3.45,2,66.67 ,-6.32,7,6,6.5,81.25,11/15/19 8:10,11/15/19 8:22,69.122.142.195,690,41.04699707,-73.62239838,3,4,2,2,6,2,1,1,2,1,4,2,3,2,2,1,4,1,1,3,2
90,2,1,1,1,2,1,0,0,0,9,0,0,0,1,0,0,0,0,6,75.00 ,-1.16,4,80.00 ,-0.74,2,66.67 ,-1.85,1,6,3.5,43.75,11/15/19 9:19,11/15/19 9:28,71.125.5.217,546,40.78199768,-73.99530029,2,6,1,1,7,4,1,3,3,2,1,2,2,3,1,1,4,1,2,3,3
91,2,2,2,1,5,0,0,0,1,11,0,0,0,0,0,1,0,0,7,87.50 ,7.97,4,80.00 ,-3.45,3,100.00 ,27.01,7,7,7,87.5,11/15/19 11:09,11/15/19 11:21,73.241.245.78,734,37.68640137,-121.7653961,3,1,1,1,7,2,2,1,2,1,4,2,3,3,2,1,1,1,2,3,2
92,2,2,1,0,4,0,0,1,0,13,0,0,0,0,0,0,0,1,5,62.50 ,-17.03,3,60.00 ,-23.45,2,66.67 ,-6.32,7,5,6,75,11/15/19 15:29,11/15/19 15:39,45.18.231.86,593,38.56619263,-121.5525055,3,7,1,1,5,2,1,1,2,1,4,2,3,3,1,1,1,1,1,3,2
93,2,2,2,1,5,0,0,0,1,11,0,0,0,0,0,1,0,0,5,62.50 ,-17.03,4,80.00 ,-3.45,1,33.33 ,-39.66,8,5,6.5,81.25,11/15/19 16:16,11/15/19 16:27,148.87.23.5,664,37.5625,-122.0003967,3,4,2,1,5,2,4,1,2,1,4,2,3,3,1,1,4,1,1,1,2
94,2,1,2,0,3,0,1,0,0,7,0,1,0,0,0,0,0,0,6,75.00 ,-1.16,4,80.00 ,-0.74,2,66.67 ,-1.85,7,6,6.5,81.25,11/16/19 2:17,11/16/19 2:30,81.111.247.162,794,51.47810364,-0.027893066,3,1,1,2,6,2,1,1,2,1,4,2,3,3,2,1,1,1,3,3,2
95,2,2,1,0,4,0,0,1,0,13,0,0,0,0,0,0,0,1,6,75.00 ,-4.53,3,60.00 ,-23.45,3,100.00 ,27.01,5,6,5.5,68.75,11/16/19 8:37,11/16/19 9:08,99.229.229.0,1856,43.66670227,-79.38040161,2,4,2,1,5,2,4,1,1,2,4,2,4,3,1,1,3,1,2,3,2
96,2,1,1,1,2,1,0,0,0,9,0,0,0,1,0,0,0,0,7,87.50 ,11.34,5,100.00 ,19.26,2,66.67 ,-1.85,6,7,6.5,81.25,11/16/19 11:07,11/16/19 11:18,107.138.148.114,654,38.00819397,-122.2682037,3,1,1,2,7,2,3,1,3,1,4,2,3,3,2,1,4,1,4,3,2
97,2,1,1,1,2,1,0,0,0,9,0,0,0,1,0,0,0,0,5,62.50 ,-13.66,4,80.00 ,-0.74,1,33.33 ,-35.19,5,5,5,62.5,11/16/19 20:01,11/16/19 20:11,76.14.187.228,609,37.65379333,-122.425705,3,1,2,2,6,2,2,1,2,1,1,3,3,3,1,1,4,1,1,3,1
98,2,1,2,0,3,0,1,0,0,7,0,1,0,0,0,0,0,0,7,87.50 ,11.34,5,100.00 ,19.26,2,66.67 ,-1.85,8,7,7.5,93.75,11/16/19 21:32,11/16/19 21:42,73.252.138.7,592,37.97599792,-122.3358994,2,6,2,1,5,2,4,1,2,1,4,2,3,3,2,1,4,1,1,3,2
99,2,1,1,1,2,1,0,0,0,9,0,0,0,1,0,0,0,0,5,62.50 ,-13.66,3,60.00 ,-20.74,2,66.67 ,-1.85,7,5,6,75,11/17/19 2:45,11/17/19 2:56,100.2.66.7,669,40.76829529,-73.98020172,4,1,3,1,6,2,4,1,2,1,4,1,3,4,2,1,3,1,1,3,2
100,2,2,1,0,4,0,0,1,0,13,0,0,0,0,0,0,0,1,5,62.50 ,-17.03,3,60.00 ,-23.45,2,66.67 ,-6.32,6,5,5.5,68.75,11/17/19 6:43,11/17/19 7:04,190.28.97.6,1278,6.25289917,-75.56459808,3,7,2,1,6,2,4,1,3,2,4,2,3,3,1,1,2,1,2,3,1
101,2,2,2,1,5,0,0,0,1,11,0,0,0,0,0,1,0,0,7,87.50 ,7.97,4,80.00 ,-3.45,3,100.00 ,27.01,6,7,6.5,81.25,11/17/19 12:27,11/17/19 12:37,67.165.164.206,598,41.87339783,-87.81069946,2,4,1,1,6,4,1,1,2,1,4,2,3,3,2,1,3,1,2,3,2
102,2,2,1,0,4,0,0,1,0,13,0,0,0,0,0,0,0,1,6,75.00 ,-4.53,4,80.00 ,-3.45,2,66.67 ,-6.32,4,6,5,62.5,11/18/19 7:58,11/18/19 9:29,208.87.235.180,5428,34.05439758,-118.2440033,4,4,2,2,6,2,4,1,4,4,1,2,4,3,2,1,1,1,2,3,4
103,2,1,2,0,3,0,1,0,0,7,0,1,0,0,0,0,0,0,6,75.00 ,-1.16,4,80.00 ,-0.74,2,66.67 ,-1.85,7,6,6.5,81.25,11/18/19 9:13,11/18/19 9:24,205.175.106.147,630,47.6631012,-122.3029022,2,1,1,1,6,2,4,1,4,1,4,2,3,3,2,1,1,1,1,3,2
104,2,1,1,1,2,1,0,0,0,9,0,0,0,1,0,0,0,0,4,50.00 ,-26.16,3,60.00 ,-20.74,1,33.33 ,-35.19,3,4,3.5,43.75,11/18/19 10:17,11/18/19 11:13,136.152.143.100,3377,37.87359619,-122.2570038,3,1,1,1,6,1,1,1,1,1,2,1,3,2,2,1,1,1,1,2,2
105,2,1,1,1,2,1,0,0,0,9,0,0,0,1,0,0,0,0,3,37.50 ,-38.66,3,60.00 ,-20.74,0,0.00 ,-68.52,5,3,4,50,11/18/19 10:20,11/18/19 10:36,107.0.228.218,904,42.27090454,-83.72679901,5,1,1,2,3,2,2,2,2,1,2,2,3,1,1,1,4,1,4,2,1
106,2,2,2,1,5,0,0,0,1,11,0,0,0,0,0,1,0,0,6,75.00 ,-4.53,4,80.00 ,-3.45,2,66.67 ,-6.32,7,6,6.5,81.25,11/18/19 17:05,11/18/19 17:16,68.34.50.113,664,42.28070068,-83.78009796,2,1,1,1,6,2,4,1,4,1,4,2,3,3,2,1,1,1,1,3,2
107,2,1,2,0,3,0,1,0,0,7,0,1,0,0,0,0,0,0,6,75.00 ,-1.16,4,80.00 ,-0.74,2,66.67 ,-1.85,8,6,7,87.5,11/18/19 17:12,11/18/19 17:21,71.225.71.56,528,39.91949463,-75.15650177,3,7,2,1,6,2,4,1,2,1,4,2,3,3,2,1,1,1,2,3,1
108,2,2,1,0,4,0,0,1,0,13,0,0,0,0,0,0,0,1,6,75.00 ,-4.53,3,60.00 ,-23.45,3,100.00 ,27.01,6,6,6,75,11/18/19 19:49,11/18/19 19:58,98.248.221.42,537,37.31770325,-122.0438004,4,1,1,2,6,2,4,1,2,3,1,2,3,3,1,1,1,1,2,3,2
109,2,1,1,1,2,1,0,0,0,9,0,0,0,1,0,0,0,0,6,75.00 ,-1.16,3,60.00 ,-20.74,3,100.00 ,31.48,7,6,6.5,81.25,11/19/19 9:58,11/19/19 10:09,35.3.67.84,657,42.30679321,-83.7059021,2,1,1,1,6,2,4,1,4,1,4,2,3,3,1,1,3,1,2,3,2
110,2,1,2,0,3,0,1,0,0,7,0,1,0,0,0,0,0,0,7,87.50 ,11.34,4,80.00 ,-0.74,3,100.00 ,31.48,8,7,7.5,93.75,11/19/19 20:37,11/19/19 20:52,108.95.4.25,850,32.80029297,-117.2438049,4,1,1,1,5,2,4,1,2,1,4,2,3,3,1,1,4,1,2,3,2
111,2,1,2,0,3,0,1,0,0,7,0,1,0,0,0,0,0,0,5,62.50 ,-13.66,3,60.00 ,-20.74,2,66.67 ,-1.85,7,5,6,75,11/22/19 9:31,11/22/19 9:45,107.0.228.218,856,42.27090454,-83.72679901,2,4,2,2,5,2,3,1,2,1,4,2,3,3,1,1,1,1,3,3,2
112,2,2,1,0,4,0,0,1,0,13,0,0,0,0,0,0,0,1,6,75.00 ,-4.53,4,80.00 ,-3.45,2,66.67 ,-6.32,7,6,6.5,81.25,11/22/19 12:22,11/22/19 12:31,98.236.28.77,549,40.46420288,-79.94480133,3,1,1,1,5,2,4,1,2,1,1,2,3,3,2,1,1,1,1,3,2
