Subject,Video,G_s,G_i,Same_Gen,PA_2,FF,FM,MF,MM,PA_3,FFA,FMB,FMA,FFB,MFA,MMB,MMA,MFB,Total_Raw,Total_Scaled,Total_Perf,Recall_Raw,Recall_Scaled,Recall_Perf,Comp_Raw,Comp_Scaled,Comp_Perf,A_Raw,B_Raw,IFE_Raw,IFE_Scaled,StartDate,EndDate,IPAddress,Duration,LocLat,LocLong,b,c,d,e,f,1A,2A,3A,4A,5A,6A,7A,8A,1B,2B,3B,4B,5B,6B,7B,8B
90,1,1,2,0,3,0,1,0,0,8,0,0,1,0,0,0,0,0,1,12.50 ,-70.83,0,0.00 ,-81.07,1,33.33 ,-54.32,1,6,3.5,43.75,11/15/19 9:19,11/15/19 9:28,71.125.5.217,546,40.78199768,-73.99530029,2,6,1,1,7,4,1,3,3,2,1,2,2,3,1,1,4,1,2,3,3
91,1,2,1,0,4,0,0,1,0,10,0,0,0,0,1,0,0,0,7,87.50 ,5.17,4,80.00 ,-1.38,3,100.00 ,16.09,7,7,7,87.5,11/15/19 11:09,11/15/19 11:21,73.241.245.78,734,37.68640137,-121.7653961,3,1,1,1,7,2,2,1,2,1,4,2,3,3,2,1,1,1,2,3,2
92,1,2,2,1,5,0,0,0,1,12,0,0,0,0,0,0,1,0,7,87.50 ,5.17,4,80.00 ,-1.38,3,100.00 ,16.09,7,5,6,75,11/15/19 15:29,11/15/19 15:39,45.18.231.86,593,38.56619263,-121.5525055,3,7,1,1,5,2,1,1,2,1,4,2,3,3,1,1,1,1,1,3,2
93,1,2,1,0,4,0,0,1,0,10,0,0,0,0,1,0,0,0,8,100.00 ,17.67,5,100.00 ,18.62,3,100.00 ,16.09,8,5,6.5,81.25,11/15/19 16:16,11/15/19 16:27,148.87.23.5,664,37.5625,-122.0003967,3,4,2,1,5,2,4,1,2,1,4,2,3,3,1,1,4,1,1,1,2
94,1,1,1,1,2,1,0,0,0,6,1,0,0,0,0,0,0,0,7,87.50 ,4.17,4,80.00 ,-1.07,3,100.00 ,12.35,7,6,6.5,81.25,11/16/19 2:17,11/16/19 2:30,81.111.247.162,794,51.47810364,-0.027893066,3,1,1,2,6,2,1,1,2,1,4,2,3,3,2,1,1,1,3,3,2
95,1,2,2,1,5,0,0,0,1,12,0,0,0,0,0,0,1,0,5,62.50 ,-19.83,3,60.00 ,-21.38,2,66.67 ,-17.24,5,6,5.5,68.75,11/16/19 8:37,11/16/19 9:08,99.229.229.0,1856,43.66670227,-79.38040161,2,4,2,1,5,2,4,1,1,2,4,2,4,3,1,1,3,1,2,3,2
96,1,1,2,0,3,0,1,0,0,8,0,0,1,0,0,0,0,0,6,75.00 ,-8.33,3,60.00 ,-21.07,3,100.00 ,12.35,6,7,6.5,81.25,11/16/19 11:07,11/16/19 11:18,107.138.148.114,654,38.00819397,-122.2682037,3,1,1,2,7,2,3,1,3,1,4,2,3,3,2,1,4,1,4,3,2
97,1,1,2,0,3,0,1,0,0,8,0,0,1,0,0,0,0,0,5,62.50 ,-20.83,4,80.00 ,-1.07,1,33.33 ,-54.32,5,5,5,62.5,11/16/19 20:01,11/16/19 20:11,76.14.187.228,609,37.65379333,-122.425705,3,1,2,2,6,2,2,1,2,1,1,3,3,3,1,1,4,1,1,3,1
98,1,1,1,1,2,1,0,0,0,6,1,0,0,0,0,0,0,0,8,100.00 ,16.67,5,100.00 ,18.93,3,100.00 ,12.35,8,7,7.5,93.75,11/16/19 21:32,11/16/19 21:42,73.252.138.7,592,37.97599792,-122.3358994,2,6,2,1,5,2,4,1,2,1,4,2,3,3,2,1,4,1,1,3,2
99,1,1,2,0,3,0,1,0,0,8,0,0,1,0,0,0,0,0,7,87.50 ,4.17,5,100.00 ,18.93,2,66.67 ,-20.98,7,5,6,75,11/17/19 2:45,11/17/19 2:56,100.2.66.7,669,40.76829529,-73.98020172,4,1,3,1,6,2,4,1,2,1,4,1,3,4,2,1,3,1,1,3,2
